Coordinates3,Count
"(33.675, -84.408)",11
"(33.675, -84.409)",13
"(33.675, -84.411)",4
"(33.675, -84.412)",1
"(33.675, -84.415)",7
"(33.675, -84.416)",93
"(33.675, -84.417)",5
"(33.675, -84.418)",7
"(33.675, -84.487)",1
"(33.675, -84.49)",1
"(33.675, -84.491)",2
"(33.675, -84.492)",2
"(33.675, -84.493)",1
"(33.675, -84.497)",43
"(33.675, -84.503)",3
"(33.675, -84.504)",4
"(33.675, -84.505)",1
"(33.675, -84.506)",3
"(33.675, -84.507)",4
"(33.675, -84.508)",7
"(33.675, -84.509)",3
"(33.675, -84.51)",9
"(33.675, -84.511)",3
"(33.675, -84.512)",4
"(33.675, -84.513)",3
"(33.675, -84.514)",5
"(33.675, -84.516)",4
"(33.675, -84.517)",5
"(33.675, -84.533)",1
"(33.676, -84.369)",2
"(33.676, -84.37)",4
"(33.676, -84.371)",1
"(33.676, -84.374)",2
"(33.676, -84.375)",2
"(33.676, -84.376)",7
"(33.676, -84.377)",7
"(33.676, -84.378)",5
"(33.676, -84.379)",4
"(33.676, -84.38)",5
"(33.676, -84.381)",6
"(33.676, -84.382)",7
"(33.676, -84.383)",5
"(33.676, -84.384)",15
"(33.676, -84.385)",9
"(33.676, -84.386)",7
"(33.676, -84.387)",12
"(33.676, -84.388)",4
"(33.676, -84.389)",18
"(33.676, -84.392)",1
"(33.676, -84.394)",12
"(33.676, -84.395)",4
"(33.676, -84.396)",5
"(33.676, -84.399)",1
"(33.676, -84.4)",7
"(33.676, -84.401)",6
"(33.676, -84.402)",18
"(33.676, -84.403)",6
"(33.676, -84.404)",16
"(33.676, -84.405)",12
"(33.676, -84.406)",70
"(33.676, -84.407)",3
"(33.676, -84.408)",25
"(33.676, -84.409)",16
"(33.676, -84.41)",5
"(33.676, -84.411)",3
"(33.676, -84.412)",1
"(33.676, -84.415)",2
"(33.676, -84.416)",158
"(33.676, -84.417)",7
"(33.676, -84.418)",2
"(33.676, -84.487)",22
"(33.676, -84.491)",6
"(33.676, -84.493)",1
"(33.676, -84.496)",14
"(33.676, -84.501)",2
"(33.676, -84.502)",7
"(33.676, -84.503)",3
"(33.676, -84.504)",4
"(33.676, -84.506)",6
"(33.676, -84.507)",7
"(33.676, -84.508)",4
"(33.676, -84.509)",14
"(33.676, -84.51)",7
"(33.676, -84.511)",7
"(33.676, -84.512)",4
"(33.676, -84.513)",1
"(33.676, -84.514)",6
"(33.676, -84.515)",3
"(33.676, -84.516)",1
"(33.676, -84.517)",9
"(33.676, -84.518)",2
"(33.676, -84.519)",2
"(33.676, -84.52)",6
"(33.676, -84.521)",2
"(33.676, -84.523)",2
"(33.676, -84.524)",1
"(33.676, -84.525)",1
"(33.676, -84.533)",1
"(33.677, -84.37)",3
"(33.677, -84.371)",2
"(33.677, -84.372)",3
"(33.677, -84.374)",2
"(33.677, -84.375)",5
"(33.677, -84.377)",2
"(33.677, -84.378)",2
"(33.677, -84.379)",1
"(33.677, -84.38)",1
"(33.677, -84.381)",2
"(33.677, -84.382)",8
"(33.677, -84.383)",1
"(33.677, -84.384)",12
"(33.677, -84.385)",2
"(33.677, -84.387)",3
"(33.677, -84.388)",3
"(33.677, -84.389)",17
"(33.677, -84.391)",4
"(33.677, -84.392)",3
"(33.677, -84.393)",11
"(33.677, -84.394)",15
"(33.677, -84.395)",9
"(33.677, -84.396)",8
"(33.677, -84.397)",1
"(33.677, -84.399)",56
"(33.677, -84.4)",30
"(33.677, -84.401)",9
"(33.677, -84.402)",15
"(33.677, -84.403)",8
"(33.677, -84.404)",9
"(33.677, -84.405)",11
"(33.677, -84.406)",17
"(33.677, -84.408)",32
"(33.677, -84.409)",2
"(33.677, -84.411)",3
"(33.677, -84.412)",9
"(33.677, -84.415)",23
"(33.677, -84.416)",14
"(33.677, -84.417)",10
"(33.677, -84.489)",4
"(33.677, -84.49)",2
"(33.677, -84.491)",5
"(33.677, -84.493)",2
"(33.677, -84.496)",10
"(33.677, -84.497)",2
"(33.677, -84.501)",1
"(33.677, -84.503)",2
"(33.677, -84.504)",1
"(33.677, -84.505)",5
"(33.677, -84.506)",2
"(33.677, -84.507)",4
"(33.677, -84.508)",8
"(33.677, -84.509)",6
"(33.677, -84.51)",7
"(33.677, -84.511)",4
"(33.677, -84.512)",11
"(33.677, -84.513)",8
"(33.677, -84.514)",12
"(33.677, -84.515)",9
"(33.677, -84.518)",2
"(33.677, -84.519)",4
"(33.677, -84.521)",1
"(33.677, -84.522)",2
"(33.677, -84.524)",1
"(33.677, -84.533)",1
